segment_id,meal_slug,sure,ayet,class,cond_sart_flag,A0_ABL_score,T0_DAT_score,Pi0_static,D0_static,steps,B_final,T_final,Pi_final,D_final
aakgul_s002_a010,aakgul,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
aakgul_s016_a112,aakgul,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
aakgul_s008_a053,aakgul,8,53,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
aakgul_s007_a096,aakgul,7,96,ABL_dominant,1,1.000000,0.000000,-0.500000,0,12,2.001436,0.000000,0.501436,0
aakgul_s030_a041,aakgul,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
abayindir_s002_a010,abayindir,2,10,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
abayindir_s016_a112,abayindir,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
abayindir_s008_a053,abayindir,8,53,conditional_only,1,0.000000,0.000000,-1.500000,0,12,0.000000,0.000000,-1.500000,0
abayindir_s007_a096,abayindir,7,96,ABL_dominant,1,1.000000,0.000000,-0.500000,0,12,2.001436,0.000000,0.501436,0
abayindir_s030_a041,abayindir,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
abulac_s002_a010,abulac,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
abulac_s016_a112,abulac,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
abulac_s008_a053,abulac,8,53,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
abulac_s007_a096,abulac,7,96,ABL_dominant,1,1.000000,0.000000,-0.500000,0,12,2.001436,0.000000,0.501436,0
abulac_s030_a041,abulac,30,41,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
ahmettekin_s002_a010,ahmettekin,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ahmettekin_s016_a112,ahmettekin,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ahmettekin_s008_a053,ahmettekin,8,53,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
ahmettekin_s007_a096,ahmettekin,7,96,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ahmettekin_s030_a041,ahmettekin,30,41,mixed,0,1.000000,0.700000,0.300000,0,12,2.001436,1.401005,0.600431,0
ahmetvarol_s002_a010,ahmetvarol,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ahmetvarol_s016_a112,ahmetvarol,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ahmetvarol_s008_a053,ahmetvarol,8,53,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ahmetvarol_s007_a096,ahmetvarol,7,96,conditional_only,1,0.000000,0.000000,-1.500000,0,12,0.000000,0.000000,-1.500000,0
ahmetvarol_s030_a041,ahmetvarol,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
alifikriyavuz_s002_a010,alifikriyavuz,2,10,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
alifikriyavuz_s016_a112,alifikriyavuz,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
alifikriyavuz_s008_a053,alifikriyavuz,8,53,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
