t,segment_id,meal_slug,sure,ayet,class,cond,A0_ABL_score,T0_DAT_score,B_abl,T_teleo,Pi,D_c
0,aakgul_s002_a010,aakgul,2,10,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,aakgul_s002_a010,aakgul,2,10,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,aakgul_s002_a010,aakgul,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,aakgul_s002_a010,aakgul,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,aakgul_s002_a010,aakgul,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,aakgul_s002_a010,aakgul,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,aakgul_s008_a053,aakgul,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,aakgul_s008_a053,aakgul,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,aakgul_s008_a053,aakgul,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,aakgul_s008_a053,aakgul,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,aakgul_s008_a053,aakgul,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,aakgul_s008_a053,aakgul,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,aakgul_s007_a096,aakgul,7,96,ABL_dominant,1,1.000000,0.000000,0.350000,0.000000,-1.150000,0
1,aakgul_s007_a096,aakgul,7,96,ABL_dominant,1,1.000000,0.000000,0.647500,0.000000,-0.852500,0
2,aakgul_s007_a096,aakgul,7,96,ABL_dominant,1,1.000000,0.000000,0.900375,0.000000,-0.599625,0
3,aakgul_s007_a096,aakgul,7,96,ABL_dominant,1,1.000000,0.000000,1.115319,0.000000,-0.384681,0
4,aakgul_s007_a096,aakgul,7,96,ABL_dominant,1,1.000000,0.000000,1.298021,0.000000,-0.201979,0
5,aakgul_s007_a096,aakgul,7,96,ABL_dominant,1,1.000000,0.000000,1.453318,0.000000,-0.046682,0
0,abayindir_s002_a010,abayindir,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,abayindir_s002_a010,abayindir,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,abayindir_s002_a010,abayindir,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,abayindir_s002_a010,abayindir,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,abayindir_s002_a010,abayindir,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,abayindir_s002_a010,abayindir,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,abayindir_s008_a053,abayindir,8,53,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
1,abayindir_s008_a053,abayindir,8,53,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
2,abayindir_s008_a053,abayindir,8,53,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
3,abayindir_s008_a053,abayindir,8,53,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
4,abayindir_s008_a053,abayindir,8,53,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
5,abayindir_s008_a053,abayindir,8,53,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
0,abayindir_s007_a096,abayindir,7,96,ABL_dominant,1,1.000000,0.000000,0.350000,0.000000,-1.150000,0
1,abayindir_s007_a096,abayindir,7,96,ABL_dominant,1,1.000000,0.000000,0.647500,0.000000,-0.852500,0
2,abayindir_s007_a096,abayindir,7,96,ABL_dominant,1,1.000000,0.000000,0.900375,0.000000,-0.599625,0
3,abayindir_s007_a096,abayindir,7,96,ABL_dominant,1,1.000000,0.000000,1.115319,0.000000,-0.384681,0
4,abayindir_s007_a096,abayindir,7,96,ABL_dominant,1,1.000000,0.000000,1.298021,0.000000,-0.201979,0
5,abayindir_s007_a096,abayindir,7,96,ABL_dominant,1,1.000000,0.000000,1.453318,0.000000,-0.046682,0
0,abulac_s002_a010,abulac,2,10,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,abulac_s002_a010,abulac,2,10,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,abulac_s002_a010,abulac,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,abulac_s002_a010,abulac,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,abulac_s002_a010,abulac,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,abulac_s002_a010,abulac,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,abulac_s008_a053,abulac,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,abulac_s008_a053,abulac,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,abulac_s008_a053,abulac,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
