author	n_ayets	d_rate_s02	d_rate_s05	d_rate_s08	slope	intercept	mean_divergence	var_divergence
mahmutozdemir	164	0.042682926829268296	0.13414634146341464	0.5121951219512195	0.782520325203252	-0.16158536585365849	0.2296747967479675	0.0413031264458986
hbasricantay	164	0.10365853658536585	0.09146341463414634	0.49390243902439024	0.6504065040650406	-0.09552845528455287	0.22967479674796745	0.03493291030471281
elmaliliorj	164	0.042682926829268296	0.12804878048780488	0.5	0.7621951219512193	-0.1575203252032519	0.22357723577235775	0.03941932712010046
syildirim	164	0.07317073170731707	0.06707317073170732	0.524390243902439	0.7520325203252032	-0.1544715447154471	0.22154471544715448	0.04586390376098883
aparliyan	164	0.08536585365853659	0.07926829268292683	0.45121951219512196	0.6097560975609756	-0.09959349593495934	0.20528455284552846	0.030248198823451655
edip	164	0.042682926829268296	0.10365853658536585	0.4695121951219512	0.711382113821138	-0.15040650406504055	0.20528455284552846	0.03552779430233325
besimatalay	164	0.03048780487804878	0.13414634146341464	0.43902439024390244	0.6808943089430894	-0.13922764227642279	0.20121951219512194	0.03006642871306762
omernasuhi	164	0.036585365853658534	0.0975609756097561	0.4695121951219512	0.7215447154471544	-0.15955284552845525	0.20121951219512194	0.03661015268689272
simsek	164	0.06097560975609756	0.10975609756097561	0.4329268292682927	0.6199186991869919	-0.10873983739837403	0.20121951219512194	0.027240729724370416
abayindir	164	0.06097560975609756	0.09146341463414634	0.43902439024390244	0.6300813008130081	-0.1178861788617886	0.19715447154471544	0.029405446493489324
alifikriyavuz	164	0.036585365853658534	0.10365853658536585	0.45121951219512196	0.6910569105691056	-0.14837398373983735	0.19715447154471544	0.03302432414568048
ihsanaktas	164	0.10365853658536585	0.042682926829268296	0.4451219512195122	0.5691056910569106	-0.08739837398373984	0.19715447154471544	0.03136360631899002
baltacioglu	164	0.06097560975609756	0.12804878048780488	0.3902439024390244	0.548780487804878	-0.08130081300813002	0.19308943089430897	0.020184744530372136
islamoglu	164	0.06707317073170732	0.07926829268292683	0.4329268292682927	0.6097560975609756	-0.11178861788617883	0.19308943089430897	0.028785775662634672
mehmetcakir	164	0.054878048780487805	0.07317073170731707	0.45121951219512196	0.660569105691057	-0.13719512195121952	0.19308943089430897	0.033371339810959084
